Site Name,Serial Number,State Datetime,Press State,Site Name,Site Region,delta time [Min.],State delta time
Testing Center,70001996,08/06/2023 22:57,Standby,Testing Center,EMEA,271.7616,0.007863472
Testing Center,70001996,08/06/2023 22:57,Standby,Testing Center,EMEA,3.494,0.0001011
Testing Center,70001995,08/06/2023 20:41,Standby,Testing Center,EMEA,4.698,0.000135937
Testing Center,70001995,08/06/2023 20:23,Standby,Testing Center,EMEA,4.4288,0.000128148
Testing Center,70001995,08/06/2023 20:03,Standby,Testing Center,EMEA,20.9916,0.000607396
Testing Center,70001995,08/06/2023 19:59,Standby,Testing Center,EMEA,31.6288,0.000915185
Testing Center,70001996,08/06/2023 19:54,Standby,Testing Center,EMEA,2.7292,7.90E-05
Testing Center,70001995,08/06/2023 19:09,Standby,Testing Center,EMEA,279.516,0.008087847
Testing Center,70001995,08/06/2023 19:09,Standby,Testing Center,EMEA,3.4944,0.000101111
Testing Center,70001996,08/06/2023 18:07,Standby,Testing Center,EMEA,6.6204,0.000191562
Testing Center,70001996,08/06/2023 17:59,Standby,Testing Center,EMEA,15.3244,0.000443414
Testing Center,70001996,08/06/2023 17:58,Standby,Testing Center,EMEA,11.4592,0.000331574
Testing Center,70001995,08/06/2023 17:53,Standby,Testing Center,EMEA,49.488,0.001431944
Testing Center,70001995,08/06/2023 17:53,Standby,Testing Center,EMEA,10.0476,0.000290729
Testing Center,70001995,08/06/2023 17:51,Standby,Testing Center,EMEA,21.0908,0.000610266
Testing Center,70001995,08/06/2023 17:51,Standby,Testing Center,EMEA,10.0548,0.000290938
Testing Center,70001996,08/06/2023 17:51,Standby,Testing Center,EMEA,51.344,0.001485648
Testing Center,70001996,08/06/2023 17:51,Standby,Testing Center,EMEA,3.4944,0.000101111
Testing Center,70001995,08/06/2023 17:50,Standby,Testing Center,EMEA,3.088,8.94E-05
Testing Center,70001995,08/06/2023 17:42,Standby,Testing Center,EMEA,58.7456,0.001699815
Testing Center,70001995,08/06/2023 17:41,Standby,Testing Center,EMEA,10.0672,0.000291296
Testing Center,70001995,08/06/2023 17:41,Standby,Testing Center,EMEA,3.84,0.000111111
Testing Center,70001995,08/06/2023 17:40,Standby,Testing Center,EMEA,11.4112,0.000330185
Testing Center,70001995,08/06/2023 17:37,Standby,Testing Center,EMEA,2.8064,8.12E-05
Testing Center,70001996,08/06/2023 17:30,Standby,Testing Center,EMEA,139.8968,0.00404794
Testing Center,70001996,08/06/2023 17:30,Standby,Testing Center,EMEA,3.498,0.000101215
Testing Center,70001995,08/06/2023 17:12,Standby,Testing Center,EMEA,3.4812,0.000100729
Testing Center,70001995,08/06/2023 17:12,Standby,Testing Center,EMEA,3.4976,0.000101204
Testing Center,70001996,08/06/2023 15:58,Standby,Testing Center,EMEA,48.3324,0.001398507
Testing Center,70001996,08/06/2023 15:53,Standby,Testing Center,EMEA,15.6388,0.000452512
Testing Center,70001996,08/06/2023 15:53,Standby,Testing Center,EMEA,3.4972,0.000101192
Testing Center,70001996,08/06/2023 15:36,Standby,Testing Center,EMEA,11.046,0.000319618
Testing Center,70001996,08/06/2023 15:24,Standby,Testing Center,EMEA,2.9888,8.65E-05
Testing Center,70001996,08/06/2023 15:09,Standby,Testing Center,EMEA,329.7196,0.009540498
Testing Center,70001995,08/06/2023 14:56,Standby,Testing Center,EMEA,5.9616,0.0001725
Testing Center,70001995,08/06/2023 14:54,Standby,Testing Center,EMEA,1.8308,5.30E-05
Testing Center,70001995,08/06/2023 14:53,Standby,Testing Center,EMEA,23.4016,0.00067713
Testing Center,70001995,08/06/2023 14:51,Standby,Testing Center,EMEA,24.7356,0.000715729
Testing Center,70001995,08/06/2023 14:51,Standby,Testing Center,EMEA,3.4948,0.000101123
Testing Center,70001001,08/06/2023 14:28,Standby,Testing Center,EMEA,1732.4912,0.050129954
Testing Center,70001996,08/06/2023 14:01,Standby,Testing Center,EMEA,8.6532,0.000250382
Testing Center,70001996,08/06/2023 14:01,Standby,Testing Center,EMEA,3.494,0.0001011
Testing Center,70001995,08/06/2023 13:46,Standby,Testing Center,EMEA,2.6524,7.67E-05
Testing Center,70001995,08/06/2023 13:43,Standby,Testing Center,EMEA,2.1884,6.33E-05
Testing Center,70001995,08/06/2023 13:39,Standby,Testing Center,EMEA,13.024,0.000376852
Testing Center,70001995,08/06/2023 13:36,Standby,Testing Center,EMEA,7.696,0.000222685
Testing Center,70001995,08/06/2023 13:13,Standby,Testing Center,EMEA,5.7632,0.000166759
Testing Center,70001995,08/06/2023 13:13,Standby,Testing Center,EMEA,3.4984,0.000101227
Testing Center,70001996,08/06/2023 12:51,Standby,Testing Center,EMEA,266.3088,0.007705694
Testing Center,70001996,08/06/2023 12:51,Standby,Testing Center,EMEA,3.498,0.000101215
Testing Center,70001001,08/06/2023 12:41,Standby,Testing Center,EMEA,0.8708,2.52E-05
Testing Center,70001001,08/06/2023 12:41,Standby,Testing Center,EMEA,2.4544,7.10E-05
Testing Center,70001996,08/06/2023 12:20,Standby,Testing Center,EMEA,3.3692,9.75E-05
Testing Center,70001001,08/06/2023 12:16,Standby,Testing Center,EMEA,12.3936,0.000358611
Testing Center,70001001,08/06/2023 12:16,Standby,Testing Center,EMEA,3.9968,0.000115648
Testing Center,70001996,08/06/2023 12:09,Standby,Testing Center,EMEA,99.8268,0.002888507
Testing Center,70001996,08/06/2023 12:09,Standby,Testing Center,EMEA,9.7344,0.000281667
Testing Center,70001001,08/06/2023 12:06,Standby,Testing Center,EMEA,2.2876,6.62E-05
Testing Center,70001996,08/06/2023 12:05,Standby,Testing Center,EMEA,89.58,0.002592014
Testing Center,70001996,08/06/2023 12:05,Standby,Testing Center,EMEA,10.0928,0.000292037
Testing Center,70001996,08/06/2023 12:04,Standby,Testing Center,EMEA,3.1228,9.04E-05
Testing Center,70001996,08/06/2023 12:00,Standby,Testing Center,EMEA,15.3796,0.000445012
Testing Center,70001996,08/06/2023 12:00,Standby,Testing Center,EMEA,9.6128,0.000278148
Testing Center,70001996,08/06/2023 11:53,Standby,Testing Center,EMEA,149.9452,0.004338692
Testing Center,70001995,08/06/2023 11:53,Standby,Testing Center,EMEA,4.7296,0.000136852
Testing Center,70001996,08/06/2023 11:53,Standby,Testing Center,EMEA,11.3856,0.000329444
Testing Center,70001996,08/06/2023 11:49,Standby,Testing Center,EMEA,19.846,0.000574248
Testing Center,70001001,08/06/2023 11:43,Standby,Testing Center,EMEA,9.1676,0.000265266
Testing Center,70001995,08/06/2023 11:31,Standby,Testing Center,EMEA,2.4128,6.98E-05
Testing Center,70001995,08/06/2023 11:16,Standby,Testing Center,EMEA,0.3612,1.05E-05
Testing Center,70001995,08/06/2023 11:15,Standby,Testing Center,EMEA,3.4976,0.000101204
Testing Center,70001001,08/06/2023 11:15,Standby,Testing Center,EMEA,8.5212,0.000246562
Testing Center,70001001,08/06/2023 11:14,Standby,Testing Center,EMEA,9.9584,0.000288148
Testing Center,70001001,08/06/2023 11:08,Standby,Testing Center,EMEA,147.3364,0.004263206
Testing Center,70001001,08/06/2023 11:07,Standby,Testing Center,EMEA,9.9584,0.000288148
Testing Center,70001001,08/06/2023 11:07,Standby,Testing Center,EMEA,10.0964,0.000292141
Testing Center,70001001,08/06/2023 11:05,Standby,Testing Center,EMEA,5.9136,0.000171111
Testing Center,70001001,08/06/2023 11:05,Standby,Testing Center,EMEA,9.958,0.000288137
Testing Center,70001001,08/06/2023 11:01,Standby,Testing Center,EMEA,78.406,0.002268692
Testing Center,70001001,08/06/2023 11:01,Standby,Testing Center,EMEA,9.9584,0.000288148
Testing Center,70001001,08/06/2023 10:57,Standby,Testing Center,EMEA,85.8808,0.002484977
Testing Center,70001001,08/06/2023 10:57,Standby,Testing Center,EMEA,9.9584,0.000288148
Testing Center,70001995,08/06/2023 10:56,Standby,Testing Center,EMEA,4.9184,0.000142315
Testing Center,70001001,08/06/2023 10:55,Standby,Testing Center,EMEA,43.1932,0.001249803
Testing Center,70001995,08/06/2023 10:54,Standby,Testing Center,EMEA,2.7104,7.84E-05
Testing Center,70001001,08/06/2023 10:54,Standby,Testing Center,EMEA,9.9584,0.000288148
Testing Center,70001001,08/06/2023 10:54,Standby,Testing Center,EMEA,5.8528,0.000169352
Testing Center,70001001,08/06/2023 10:53,Standby,Testing Center,EMEA,9.856,0.000285185
Testing Center,70001001,08/06/2023 10:52,Standby,Testing Center,EMEA,18.3164,0.000529988
Testing Center,70001995,08/06/2023 10:51,Standby,Testing Center,EMEA,3.4656,0.000100278
Testing Center,70001001,08/06/2023 10:40,Standby,Testing Center,EMEA,6.8672,0.000198704
Testing Center,70001001,08/06/2023 10:26,Standby,Testing Center,EMEA,0.4576,1.32E-05
Testing Center,70001001,08/06/2023 10:25,Standby,Testing Center,EMEA,11.4176,0.00033037
Testing Center,70001001,08/06/2023 10:22,Standby,Testing Center,EMEA,11.2384,0.000325185
Testing Center,70001001,08/06/2023 10:20,Standby,Testing Center,EMEA,5.3632,0.000155185
Testing Center,70001001,08/06/2023 10:20,Standby,Testing Center,EMEA,10.3292,0.000298877
Testing Center,70001001,08/06/2023 10:08,Standby,Testing Center,EMEA,192.9488,0.005583009
Testing Center,70001001,08/06/2023 10:05,Standby,Testing Center,EMEA,1.5012,4.34E-05
Testing Center,70001001,08/06/2023 10:05,Standby,Testing Center,EMEA,2.4604,7.12E-05
Testing Center,70001995,08/06/2023 10:01,Standby,Testing Center,EMEA,37.4044,0.001082303
Testing Center,70001995,08/06/2023 10:01,Standby,Testing Center,EMEA,9.7856,0.000283148
Testing Center,70001995,08/06/2023 9:57,Standby,Testing Center,EMEA,76.7484,0.002220729
Testing Center,70001001,08/06/2023 9:54,Standby,Testing Center,EMEA,74.908,0.002167477
Testing Center,70001996,08/06/2023 9:52,Standby,Testing Center,EMEA,4.3232,0.000125093
Testing Center,70001001,08/06/2023 9:49,Standby,Testing Center,EMEA,90.348,0.002614236
Testing Center,70001001,08/06/2023 9:49,Standby,Testing Center,EMEA,2.4544,7.10E-05
Testing Center,70001996,08/06/2023 9:40,Standby,Testing Center,EMEA,18.9436,0.000548137
Testing Center,70001001,08/06/2023 9:36,Standby,Testing Center,EMEA,3.0372,8.79E-05
Testing Center,70001996,08/06/2023 9:27,Standby,Testing Center,EMEA,141.7848,0.004102569
Testing Center,70001995,08/06/2023 9:18,Standby,Testing Center,EMEA,4.24,0.000122685
Testing Center,70001995,08/06/2023 9:18,Standby,Testing Center,EMEA,3.4976,0.000101204
Testing Center,70001995,08/06/2023 8:56,Standby,Testing Center,EMEA,39.6124,0.001146192
Testing Center,70001001,08/06/2023 8:54,Standby,Testing Center,EMEA,340.5472,0.009853796
Testing Center,70001995,08/06/2023 8:53,Standby,Testing Center,EMEA,12.9156,0.000373715
